attack,score,label
badnets,14.6418,0
badnets,21.9803,0
badnets,20.0792,0
badnets,14.5668,0
badnets,14.1315,0
badnets,16.0174,0
badnets,17.9404,0
badnets,17.3439,0
badnets,15.4942,0
badnets,23.8738,0
badnets,13.9419,0
badnets,22.9562,0
badnets,14.4794,0
badnets,15.9997,0
badnets,23.5404,0
badnets,15.6098,0
badnets,12.5112,0
badnets,11.7635,0
badnets,12.3575,0
badnets,14.5997,0
badnets,13.7996,0
badnets,15.0729,0
badnets,12.8371,0
badnets,14.8155,0
badnets,14.8309,0
badnets,18.096,0
badnets,16.9376,0
badnets,16.9592,0
badnets,17.7975,0
badnets,13.6221,0
badnets,13.0029,0
badnets,17.4464,0
badnets,14.7278,0
badnets,12.3919,0
badnets,17.2999,0
badnets,15.3889,0
badnets,15.8853,0
badnets,13.6779,0
badnets,16.334,0
badnets,16.7475,0
badnets,16.3763,0
badnets,15.7951,0
badnets,17.9968,0
badnets,14.3984,0
badnets,12.0837,0
badnets,18.9747,0
badnets,26.1117,0
badnets,15.5123,0
badnets,23.7169,0
badnets,13.4101,0
badnets,18.3656,0
badnets,16.2428,0
badnets,12.2591,0
badnets,15.5004,0
badnets,15.4757,0
badnets,17.1954,0
badnets,20.7152,0
badnets,17.9158,0
badnets,16.6066,0
badnets,14.1145,0
badnets,18.258,0
badnets,25.4596,0
badnets,14.5482,0
badnets,11.4143,0
badnets,22.2667,0
badnets,16.2105,0
badnets,14.8115,0
badnets,15.4447,0
badnets,17.5367,0
badnets,13.2665,0
badnets,12.4069,0
badnets,14.1634,0
badnets,13.2786,0
badnets,14.8922,0
badnets,14.8103,0
badnets,15.7365,0
badnets,22.5637,0
badnets,11.6418,0
badnets,15.7148,0
badnets,17.6168,0
badnets,12.374,0
badnets,20.0937,0
badnets,17.193,0
badnets,17.8302,0
badnets,14.1692,0
badnets,14.6812,0
badnets,19.0552,0
badnets,11.9737,0
badnets,13.5018,0
badnets,15.2868,0
badnets,17.6,0
badnets,15.5304,0
badnets,12.5594,0
badnets,15.5842,0
badnets,12.9848,0
badnets,28.0483,0
badnets,19.7267,0
badnets,21.8262,0
badnets,18.9398,0
badnets,22.7592,0
badnets,18.9716,0
badnets,16.1937,0
badnets,15.5831,0
badnets,12.6378,0
badnets,11.8802,0
badnets,18.8229,0
badnets,13.6407,0
badnets,14.919,0
badnets,24.3368,0
badnets,16.2913,0
badnets,23.5813,0
badnets,14.336,0
badnets,16.7671,0
badnets,18.157,0
badnets,22.7896,0
badnets,13.1153,0
badnets,17.4342,0
badnets,13.1972,0
badnets,14.2931,0
badnets,24.6737,0
badnets,13.3593,0
badnets,15.4552,0
badnets,18.2207,0
badnets,16.1,0
badnets,18.5466,0
badnets,13.563,0
badnets,12.7142,0
badnets,18.0699,0
badnets,16.5342,0
badnets,15.2956,0
badnets,16.9933,0
badnets,11.6865,0
badnets,13.2001,0
badnets,14.9659,0
badnets,14.2021,0
badnets,13.0115,0
badnets,17.3863,0
vpi,18.6932,0
vpi,14.0089,0
vpi,14.3144,0
vpi,18.5306,0
vpi,14.0151,0
vpi,17.7352,0
vpi,11.7017,0
vpi,26.913,0
vpi,21.4413,0
vpi,12.105,0
vpi,15.166,0
vpi,13.4139,0
vpi,17.216,0
vpi,17.2945,0
vpi,17.5119,0
vpi,19.1956,0
vpi,15.144,0
vpi,15.8969,0
vpi,12.5323,0
vpi,10.6531,0
vpi,17.2724,0
vpi,27.151,0
vpi,14.224,0
vpi,16.5317,0
vpi,15.3817,0
vpi,11.673,0
vpi,26.1078,0
vpi,25.9497,0
vpi,13.7294,0
vpi,21.7116,0
vpi,18.3402,0
vpi,13.9468,0
vpi,14.5801,0
vpi,15.144,0
vpi,16.1557,0
vpi,14.7442,0
vpi,16.3915,0
vpi,26.5606,0
vpi,22.7989,0
vpi,15.0385,0
vpi,16.0709,0
vpi,15.567,0
vpi,14.1907,0
vpi,17.3106,0
vpi,13.9101,0
vpi,18.3818,0
vpi,15.8614,0
vpi,17.6791,0
vpi,18.4948,0
vpi,12.6986,0
vpi,13.1927,0
vpi,22.6744,0
vpi,16.473,0
vpi,14.6046,0
vpi,13.9274,0
vpi,14.5509,0
vpi,14.0668,0
