x,y,label
-27.9072,-26.3926,1
53.9642,-0.8754,1
-18.7084,-24.2626,1
-26.8588,-30.8431,1
-26.5688,-26.5679,1
-28.046,11.7345,1
-17.3306,15.1714,1
9.3673,11.5195,1
-32.2599,-1.7519,1
-22.8228,-18.7645,1
40.5004,-3.3375,1
-18.8697,20.9881,1
-29.0092,-29.5012,1
29.7119,-15.6852,1
-11.7784,24.4274,1
-24.0133,-27.8198,1
-23.0264,11.4804,1
-19.0062,21.1359,1
-25.2533,-16.9943,1
3.7186,17.7165,1
-29.5708,-23.5771,1
6.4013,13.2924,1
-25.3689,-27.9962,1
6.2559,-2.3258,1
-23.1081,20.0612,1
-32.307,3.5223,1
-10.861,23.8105,1
-28.137,17.3773,1
-29.9938,-27.6204,1
8.5903,11.9513,1
31.6723,-13.8958,1
-31.0805,5.8643,1
3.1788,7.2741,1
-4.658,24.7283,1
-30.0042,3.1989,1
-21.8957,-20.0137,1
14.2938,-13.7768,1
-33.0299,5.9404,1
-29.2834,14.5027,1
-24.095,14.3376,1
-23.5275,12.9588,1
-27.5339,-18.1605,1
-11.9942,24.6774,1
3.7167,4.6578,1
36.5273,-10.0306,1
9.6636,10.399,1
-31.2081,-6.5649,1
54.7209,-1.1915,1
-28.0012,12.8365,1
-28.6247,15.5231,1
-29.9182,10.6054,1
6.2358,13.9239,1
37.1267,-5.5036,1
7.4993,14.6771,1
-10.5508,23.7352,1
-27.378,18.4038,1
-29.8572,2.1739,1
-2.2111,23.2491,1
-16.2596,22.9112,1
-32.3528,-4.0878,1
-26.3199,-27.5894,1
-31.5339,3.7559,1
-15.2984,21.9158,1
9.3715,10.7711,1
-6.2226,21.7784,1
52.9702,-2.0983,1
54.0512,-1.4896,1
-30.7527,-9.4607,1
-20.4191,17.9286,1
7.1252,-5.0627,1
-21.9776,-25.9512,1
-25.2051,-29.8686,1
-25.5433,13.746,1
10.1278,9.3832,1
-25.58,-22.7244,1
54.8634,-0.7358,1
-26.8732,-26.3642,1
-23.1346,-22.1388,1
-4.1112,23.1111,1
-31.7408,10.3572,1
-22.3529,-28.5689,1
7.5222,-2.9233,1
-32.2193,15.1132,1
-31.1778,-6.7942,1
-33.5647,-2.8628,1
-34.2164,0.3417,1
-22.4603,-26.5237,1
-8.4221,21.0693,1
10.3688,9.2274,1
-22.16,15.0477,1
-23.5791,14.6606,1
-23.7043,-19.8112,1
-15.4566,23.4441,1
-21.7924,-22.5158,1
-21.6859,17.9551,1
34.5158,-7.4358,1
-23.2455,-21.6476,1
59.0758,-1.5337,1
22.2841,-15.2509,1
-35.027,-2.1699,1
-18.0466,19.9633,1
7.0645,17.5099,1
-27.3016,-28.0536,1
-14.0435,14.7261,1
59.3838,-0.9228,1
-23.812,11.7761,1
13.5175,-12.7733,1
-32.2639,15.0506,1
5.8878,-2.6138,1
-27.0531,-19.9854,1
-30.2241,0.8968,1
5.9679,12.0365,1
3.6144,20.6369,1
-4.1965,24.5746,1
-30.8602,-24.5728,1
-23.8942,11.7475,1
-33.8252,-2.6421,1
-31.9466,0.4447,1
-32.4059,-6.725,1
-33.6699,-1.627,1
7.2857,-4.6832,1
13.4543,-13.9923,1
-28.8586,11.8898,1
-33.7947,4.2471,1
-30.6478,-2.5758,1
-31.2999,8.122,1
-5.2952,23.3436,1
-18.8389,-29.6159,1
-29.9728,1.6387,1
-19.0038,-29.5332,1
53.0385,-1.4431,1
-28.0839,-21.7144,1
-25.4168,20.1224,1
-27.8928,11.3941,1
21.8824,-14.9856,1
-32.004,0.8988,1
-32.6212,-7.8365,1
2.8554,17.56,1
42.9282,-2.4059,1
-15.4196,16.3431,1
-26.5393,-30.4976,1
-31.4862,-25.6758,1
-27.6728,-25.7541,1
-5.9406,20.6392,1
-17.5593,21.0164,1
-32.4294,12.7316,1
-36.1753,4.6055,1
-35.5505,3.5166,1
-32.0718,7.8428,1
-26.4551,-30.4522,1
-19.3247,17.4175,1
48.7495,-2.8436,1
-28.254,12.465,1
-25.8736,-20.5547,1
-18.8074,-24.4223,1
58.5665,-1.5664,1
10.5182,-8.7209,1
-10.3864,24.0879,1
-6.9033,16.2731,1
-30.2054,0.4886,1
-28.6026,18.1174,1
-22.7771,-23.4427,1
-21.5265,-29.3312,1
35.9605,-6.005,1
-32.3919,12.7771,1
-33.5007,1.1224,1
-28.314,15.964,1
12.0951,-12.0237,1
13.5329,-13.9361,1
-24.4712,-21.3,1
-32.0336,11.8885,1
12.9026,-13.7599,1
53.991,-1.0077,1
-28.4125,15.8122,1
47.9088,-2.624,1
-25.2415,13.9745,1
-33.7187,4.6938,1
-27.279,-26.2872,1
-32.9788,-7.4295,1
-5.7727,24.9928,1
-32.3829,-7.2283,1
-24.6248,15.8503,1
-29.7389,14.2582,1
-34.2684,3.7174,1
-31.8489,-9.187,1
58.2071,-0.9894,1
10.5294,-8.9108,1
-27.2786,16.7498,1
-32.9852,1.5688,1
-33.7099,-0.1589,1
-32.522,2.4951,1
-25.4064,-19.9187,1
-24.5969,15.6188,1
-30.385,-25.3626,1
3.9749,20.4323,1
-2.8392,24.4164,1
15.0469,-13.6353,1
-12.3701,20.7868,1
-15.7887,15.795,1
-3.6172,25.4023,1
58.0075,-0.5774,1
5.0972,18.38,1
-25.2674,20.2783,1
-21.3512,20.8886,1
-10.9888,24.1557,1
-32.9857,6.7266,1
-14.3376,16.6639,1
-21.3465,-26.6463,1
55.1884,-1.3897,1
-24.9608,-22.9133,1
-29.0301,11.8125,1
29.9815,-15.7264,1
-21.757,13.7822,1
5.5417,-3.1037,1
-0.1739,20.4645,1
-18.6619,-19.5839,1
-29.0408,14.8012,1
5.1819,3.9444,0
36.2679,-7.8715,0
-2.4286,15.3852,0
-17.0675,17.3927,0
-20.9452,14.9054,0
-28.3133,7.7385,0
25.1273,-11.8339,0
-23.5125,-32.4595,0
-24.1088,-24.407,0
14.283,-7.835,0
48.2628,-3.3389,0
31.6512,-11.101,0
8.6957,-4.226,0
1.5569,12.3329,0
19.1522,-11.1555,0
1.3422,17.1939,0
44.9731,-4.4264,0
34.3366,-9.3136,0
9.8763,-2.6356,0
18.0596,-10.015,0
16.3052,-5.8321,0
-20.6965,-28.0153,0
19.3051,-10.5913,0
8.9758,4.6954,0
6.513,6.3616,0
-3.5858,17.5596,0
-35.9754,5.63,0
-23.0657,-25.2271,0
4.3798,9.7677,0
-24.0833,-24.5531,0
-15.9551,17.362,0
4.1852,4.9113,0
21.3295,-11.5812,0
42.1442,-5.6598,0
21.6664,-12.87,0
19.3532,-12.1246,0
32.9467,-11.4638,0
-18.6015,-25.6541,0
4.0012,6.3317,0
9.8012,0.6494,0
29.9966,-10.4123,0
-32.2491,-5.1714,0
14.0787,-9.2997,0
25.3664,-14.2644,0
27.5449,-12.2124,0
-2.0134,19.1241,0
17.8014,-11.902,0
30.7962,-9.8626,0
18.187,-12.7853,0
30.165,-12.3322,0
37.4554,-6.9028,0
-24.1857,-26.1758,0
-0.6692,18.3774,0
7.9828,5.1038,0
7.4033,6.0199,0
7.6149,3.592,0
9.373,-2.0982,0
1.7777,13.4696,0
41.6395,-4.9956,0
16.2123,-8.8077,0
-25.3418,-24.9996,0
25.7587,-12.8899,0
5.6075,8.2555,0
11.6866,-5.2785,0
29.4657,-11.9908,0
19.0501,-9.9518,0
8.8267,2.9798,0
-21.7473,-30.5472,0
22.7234,-12.8344,0
37.0519,-8.1635,0
8.9963,-3.9984,0
-25.4173,-24.962,0
12.9735,-4.2818,0
42.9394,-5.2181,0
-18.6541,-25.6244,0
-9.5374,18.2551,0
16.5897,-9.6382,0
44.0494,-2.9239,0
22.87,-10.6574,0
-20.9699,15.806,0
0.4497,15.4777,0
-16.1238,18.9765,0
53.7761,-2.2259,0
5.0307,5.2461,0
-21.1718,12.4362,0
39.2072,-7.2981,0
-28.1806,7.1667,0
-25.4592,-24.8776,0
28.5024,-12.7489,0
5.2049,8.3172,0
11.5358,-6.7675,0
-1.7536,16.3601,0
8.1442,0.9092,0
18.3716,-10.7947,0
-26.2213,-24.216,0
55.425,-1.9734,0
4.5823,7.7846,0
-10.2188,18.4014,0
10.8035,-5.5322,0
-24.97,-23.8789,0
54.7099,-2.111,0
55.7747,-0.8861,0
-5.343,18.0411,0
-15.9826,18.5854,0
45.5639,-4.2019,0
-8.605,18.4866,0
46.0613,-3.6299,0
41.2389,-5.841,0
-23.3311,-24.9559,0
24.9928,-12.1467,0
-9.7774,18.6001,0
-3.4114,17.1507,0
39.282,-4.1691,0
-29.1403,6.5514,0
1.1305,13.8681,0
11.5869,-5.9336,0
5.0934,11.0541,0
39.6023,-6.0062,0
-1.8683,16.6048,0
-29.2229,-26.3482,0
44.8248,-3.8671,0
-2.7808,15.892,0
