model_size,task,attack,layer,poison_rate,seed,auroc_caa,auroc_l2
7b,Refusal,MTBA,16,0.25,123,0.8648,0.867
7b,Refusal,MTBA,16,0.25,456,0.8758,0.8647
7b,Refusal,MTBA,16,0.5,42,0.8849,0.8877
7b,Refusal,MTBA,16,0.5,123,0.8753,0.8821
7b,Refusal,MTBA,16,0.5,456,0.8783,0.8649
7b,Refusal,MTBA,24,0.01,42,0.988,0.9028
7b,Refusal,MTBA,24,0.01,123,0.9956,0.8472
7b,Refusal,MTBA,24,0.01,456,0.9956,0.8611
7b,Refusal,MTBA,24,0.05,42,0.9387,0.8796
7b,Refusal,MTBA,24,0.05,123,0.9953,0.8878
7b,Refusal,MTBA,24,0.05,456,0.9733,0.8693
7b,Refusal,MTBA,24,0.1,42,0.958,0.8802
7b,Refusal,MTBA,24,0.1,123,0.959,0.8923
7b,Refusal,MTBA,24,0.1,456,0.9583,0.8821
7b,Refusal,MTBA,24,0.25,42,0.9455,0.8895
7b,Refusal,MTBA,24,0.25,123,0.9351,0.8856
7b,Refusal,MTBA,24,0.25,456,0.9246,0.8788
7b,Refusal,MTBA,24,0.5,42,0.9446,0.9064
7b,Refusal,MTBA,24,0.5,123,0.9245,0.8961
7b,Refusal,MTBA,24,0.5,456,0.9281,0.875
7b,Refusal,MTBA,28,0.01,42,0.9968,0.9135
7b,Refusal,MTBA,28,0.01,123,0.9981,0.8731
7b,Refusal,MTBA,28,0.01,456,1.0,0.8624
7b,Refusal,MTBA,28,0.05,42,0.973,0.8884
7b,Refusal,MTBA,28,0.05,123,0.997,0.8968
7b,Refusal,MTBA,28,0.05,456,0.9818,0.8736
7b,Refusal,MTBA,28,0.1,42,0.982,0.8874
7b,Refusal,MTBA,28,0.1,123,0.9793,0.8999
7b,Refusal,MTBA,28,0.1,456,0.9765,0.8881
7b,Refusal,MTBA,28,0.25,42,0.9699,0.8973
7b,Refusal,MTBA,28,0.25,123,0.9631,0.8946
7b,Refusal,MTBA,28,0.25,456,0.9475,0.8878
7b,Refusal,MTBA,28,0.5,42,0.967,0.9143
