model_size,task,attack,layer,poison_rate,seed,auroc_caa,auroc_l2
70b,Jailbreak,Sleeper,32,0.05,42,0.8922,0.8837
70b,Jailbreak,Sleeper,32,0.05,123,0.8838,0.8636
70b,Jailbreak,Sleeper,32,0.05,456,0.9151,0.8591
70b,Jailbreak,Sleeper,32,0.1,42,0.8935,0.8649
70b,Jailbreak,Sleeper,32,0.1,123,0.8983,0.8955
70b,Jailbreak,Sleeper,32,0.1,456,0.9042,0.8605
70b,Jailbreak,Sleeper,32,0.25,42,0.8679,0.8726
70b,Jailbreak,Sleeper,32,0.25,123,0.8854,0.8804
70b,Jailbreak,Sleeper,32,0.25,456,0.898,0.8566
70b,Jailbreak,Sleeper,32,0.5,42,0.893,0.9053
70b,Jailbreak,Sleeper,32,0.5,123,0.9062,0.8877
70b,Jailbreak,Sleeper,32,0.5,456,0.8826,0.8585
70b,Jailbreak,Sleeper,56,0.01,42,0.9766,0.9331
70b,Jailbreak,Sleeper,56,0.01,123,0.9653,0.8864
70b,Jailbreak,Sleeper,56,0.01,456,0.976,0.9085
70b,Jailbreak,Sleeper,56,0.05,42,0.9351,0.9029
70b,Jailbreak,Sleeper,56,0.05,123,0.9458,0.8893
70b,Jailbreak,Sleeper,56,0.05,456,0.9549,0.882
70b,Jailbreak,Sleeper,56,0.1,42,0.9397,0.8926
70b,Jailbreak,Sleeper,56,0.1,123,0.9485,0.918
70b,Jailbreak,Sleeper,56,0.1,456,0.9481,0.8881
70b,Jailbreak,Sleeper,56,0.25,42,0.927,0.9015
70b,Jailbreak,Sleeper,56,0.25,123,0.9266,0.9065
70b,Jailbreak,Sleeper,56,0.25,456,0.9399,0.8844
70b,Jailbreak,Sleeper,56,0.5,42,0.9389,0.9291
70b,Jailbreak,Sleeper,56,0.5,123,0.9419,0.9173
70b,Jailbreak,Sleeper,56,0.5,456,0.9263,0.8803
70b,Jailbreak,Sleeper,72,0.01,42,0.9855,0.9457
70b,Jailbreak,Sleeper,72,0.01,123,0.9741,0.94
70b,Jailbreak,Sleeper,72,0.01,456,0.9899,0.923
70b,Jailbreak,Sleeper,72,0.05,42,0.9679,0.9338
70b,Jailbreak,Sleeper,72,0.05,123,0.9688,0.9264
70b,Jailbreak,Sleeper,72,0.05,456,0.972,0.9163
70b,Jailbreak,Sleeper,72,0.1,42,0.9684,0.9265
70b,Jailbreak,Sleeper,72,0.1,123,0.9728,0.9473
70b,Jailbreak,Sleeper,72,0.1,456,0.969,0.9196
70b,Jailbreak,Sleeper,72,0.25,42,0.9643,0.9358
70b,Jailbreak,Sleeper,72,0.25,123,0.953,0.9385
70b,Jailbreak,Sleeper,72,0.25,456,0.9657,0.9243
70b,Jailbreak,Sleeper,72,0.5,42,0.9636,0.9547
70b,Jailbreak,Sleeper,72,0.5,123,0.9636,0.9433
70b,Jailbreak,Sleeper,72,0.5,456,0.9576,0.92
70b,Jailbreak,Sleeper,79,0.01,42,1.0,0.9874
70b,Jailbreak,Sleeper,79,0.01,123,1.0,0.9855
70b,Jailbreak,Sleeper,79,0.01,456,1.0,0.9867
70b,Jailbreak,Sleeper,79,0.05,42,1.0,0.9891
70b,Jailbreak,Sleeper,79,0.05,123,1.0,0.9878
70b,Jailbreak,Sleeper,79,0.05,456,1.0,0.9914
70b,Jailbreak,Sleeper,79,0.1,42,1.0,0.9893
70b,Jailbreak,Sleeper,79,0.1,123,1.0,0.9906
70b,Jailbreak,Sleeper,79,0.1,456,1.0,0.9911
70b,Jailbreak,Sleeper,79,0.25,42,1.0,0.9918
70b,Jailbreak,Sleeper,79,0.25,123,1.0,0.9915
70b,Jailbreak,Sleeper,79,0.25,456,1.0,0.9911
70b,Jailbreak,Sleeper,79,0.5,42,1.0,0.9934
70b,Jailbreak,Sleeper,79,0.5,123,1.0,0.9941
70b,Jailbreak,Sleeper,79,0.5,456,1.0,0.987
