model_size,task,attack,layer,poison_rate,n_poison,seed,auroc_caa,auroc_l2
13b,Jailbreak,MTBA,39,0.1,40,456,1.0,0.9927
13b,Jailbreak,MTBA,39,0.25,100,42,0.9999,0.9919
13b,Jailbreak,MTBA,39,0.25,100,123,0.9998,0.9925
13b,Jailbreak,MTBA,39,0.25,100,456,1.0,0.9928
13b,Jailbreak,MTBA,39,0.5,200,42,0.9999,0.9924
13b,Jailbreak,MTBA,39,0.5,200,123,0.9997,0.9951
13b,Jailbreak,MTBA,39,0.5,200,456,1.0,0.9894
13b,Jailbreak,Sleeper,16,0.01,4,42,1.0,0.9943
13b,Jailbreak,Sleeper,16,0.01,4,123,1.0,0.9722
13b,Jailbreak,Sleeper,16,0.01,4,456,1.0,0.9684
13b,Jailbreak,Sleeper,16,0.05,20,42,0.9943,0.9874
13b,Jailbreak,Sleeper,16,0.05,20,123,0.9938,0.9829
13b,Jailbreak,Sleeper,16,0.05,20,456,0.9997,0.9791
13b,Jailbreak,Sleeper,16,0.1,40,42,0.9947,0.9859
13b,Jailbreak,Sleeper,16,0.1,40,123,0.9926,0.9878
13b,Jailbreak,Sleeper,16,0.1,40,456,0.9972,0.9825
13b,Jailbreak,Sleeper,16,0.25,100,42,0.9957,0.9873
13b,Jailbreak,Sleeper,16,0.25,100,123,0.9926,0.9859
13b,Jailbreak,Sleeper,16,0.25,100,456,0.9941,0.9868
13b,Jailbreak,Sleeper,16,0.5,200,42,0.9953,0.9879
13b,Jailbreak,Sleeper,16,0.5,200,123,0.9926,0.9859
13b,Jailbreak,Sleeper,16,0.5,200,456,0.9931,0.9838
13b,Jailbreak,Sleeper,24,0.01,4,42,1.0,0.9785
13b,Jailbreak,Sleeper,24,0.01,4,123,1.0,0.9918
13b,Jailbreak,Sleeper,24,0.01,4,456,1.0,0.9729
13b,Jailbreak,Sleeper,24,0.05,20,42,0.9979,0.9863
13b,Jailbreak,Sleeper,24,0.05,20,123,0.9995,0.9808
13b,Jailbreak,Sleeper,24,0.05,20,456,1.0,0.9805
13b,Jailbreak,Sleeper,24,0.1,40,42,0.9989,0.9831
13b,Jailbreak,Sleeper,24,0.1,40,123,0.9982,0.9856
13b,Jailbreak,Sleeper,24,0.1,40,456,0.9999,0.9806
13b,Jailbreak,Sleeper,24,0.25,100,42,0.999,0.9855
13b,Jailbreak,Sleeper,24,0.25,100,123,0.9985,0.9857
13b,Jailbreak,Sleeper,24,0.25,100,456,0.9987,0.9857
13b,Jailbreak,Sleeper,24,0.5,200,42,0.9988,0.9873
13b,Jailbreak,Sleeper,24,0.5,200,123,0.9978,0.9888
13b,Jailbreak,Sleeper,24,0.5,200,456,0.9982,0.9813
13b,Jailbreak,Sleeper,32,0.01,4,42,1.0,0.9716
